homeShotsTotalFT,awayShotsTotalFT,homeShotsOnTargetFT,awayShotsOnTargetFT,homeInterceptionsFT,awayInterceptionsFT,homeTacklesTotalFT,awayTacklesTotalFT,homeTackleSuccessFT,awayTackleSuccessFT,homeFoulsCommitedFT,awayFoulsCommitedFT,homePassesKeyFT,awayPassesKeyFT,homePassSuccessFT,awayPassSuccessFT,homePossessionFT,awayPossessionFT,homeDribbleSuccessFT,awayDribbleSuccessFT,homeAerialsTotalFT,awayAerialsTotalFT,homeCornersTotalFT,awayCornersTotalFT,division
13,10,7,4,18,23,41,31,56.9,70,17,13,10,8,69.12,72.72,46.77,53.23,51.19,68.42,18,18,8,5,Serie_A
13,14,5,8,33,16,37,25,57.58,80,13,13,10,10,58.15,70.36,46.77,53.23,34.72,80.56,20,20,4,2,Serie_A
11,5,4,0,15,17,14,30,57.69,45.45,22,22,7,5,73.36,59.23,58.4,41.6,79.41,75,22,22,5,3,Serie_A
9,18,1,2,17,22,24,18,50,71.88,13,12,6,16,49.52,74.16,39.27,60.73,45,87.5,28,28,6,6,Serie_A
25,5,5,2,10,19,21,24,66.67,52.27,17,10,20,3,83.07,69.09,60.72,39.28,65.62,66.67,21,21,6,3,Serie_A
19,7,4,2,15,33,27,26,61.67,84.09,12,14,17,4,82.13,56.1,63.44,36.56,33.33,65.38,27,27,6,3,Serie_A
10,9,9,4,11,16,27,40,65.28,78.65,21,19,7,6,75.41,65.68,57.8,42.2,41.67,56.67,20,20,4,2,Serie_A
8,15,3,6,16,27,23,24,72.5,85.09,12,15,7,10,71.32,76.3,49.05,50.95,50,39.29,21,21,4,4,Serie_A
19,11,3,4,21,22,21,31,75,82.14,9,12,13,8,73.38,67.33,50.64,49.36,45.83,66.67,23,23,5,6,Serie_A
7,17,4,5,13,29,21,25,72.22,84.09,15,12,5,14,62.73,69.6,47.96,52.04,50,55,16,16,7,4,Serie_A
25,15,6,1,15,24,25,25,84.09,42.5,16,16,19,11,63.17,57.37,47.2,52.8,75,83.33,22,22,12,10,Serie_A
16,11,6,4,27,14,38,26,51.01,84.09,9,16,13,9,67.49,65,46.61,53.39,28.57,62.96,34,34,5,7,Serie_A
13,10,4,2,16,16,19,28,90,58.33,15,18,9,8,62.45,61.35,46.48,53.52,50,28.57,38,38,7,4,Serie_A
10,12,4,5,12,10,14,22,88.46,65.79,26,25,5,9,53.07,68.11,43.24,56.76,43.33,13.64,42,42,6,2,Serie_A
